Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,5.100000,5.100000,5.100000,5.100000,5.100000,0
2013-08-01,5.100000,5.100000,5.100000,5.100000,5.100000,0
2013-09-01,5.100000,5.100000,2.600000,2.600000,2.600000,234
2013-10-01,2.600000,3.000000,2.600000,3.000000,3.000000,1000
2013-11-01,3.000000,3.250000,3.000000,3.250000,3.250000,300
2013-12-01,3.250000,3.250000,3.250000,3.250000,3.250000,3334
2014-01-01,3.250000,3.250000,3.250000,3.250000,3.250000,300
2014-02-01,3.250000,4.500000,3.250000,4.400000,4.400000,7084
2014-03-01,4.400000,4.400000,4.400000,4.400000,4.400000,500
2014-04-01,4.400000,4.400000,4.400000,4.400000,4.400000,0
2014-05-01,4.400000,4.400000,4.000000,4.000000,4.000000,1000
2014-06-01,4.000000,4.100000,3.300000,3.300000,3.300000,1300
2014-07-01,4.000000,4.000000,3.000000,3.000000,3.000000,1000
2014-08-01,3.000000,3.660000,3.000000,3.660000,3.660000,2200
2014-09-01,3.660000,3.660000,1.500000,1.500000,1.500000,400
2014-10-01,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-11-01,1.500000,1.500000,0.280000,1.250000,1.250000,2148
2014-12-01,1.250000,1.250000,0.750000,0.750000,0.750000,1848
2015-01-01,0.750000,1.150000,0.750000,1.150000,1.150000,1000
2015-02-01,1.150000,1.150000,1.150000,1.150000,1.150000,0
2015-03-01,1.150000,1.150000,1.150000,1.150000,1.150000,0
2015-04-01,1.150000,1.300000,1.150000,1.300000,1.300000,565
2015-05-01,1.300000,1.300000,1.250000,1.300000,1.300000,2350
2015-06-01,1.300000,1.300000,1.300000,1.300000,1.300000,0
2015-07-01,1.300000,1.300000,1.300000,1.300000,1.300000,0
2015-08-01,1.300000,1.350000,1.300000,1.350000,1.350000,2325
2015-09-01,1.350000,1.460000,1.350000,1.460000,1.460000,115
2015-10-01,1.460000,1.460000,1.460000,1.460000,1.460000,0
2015-11-01,1.460000,1.500000,1.460000,1.500000,1.500000,800
2015-12-01,1.500000,1.500000,1.110000,1.110000,1.110000,1700
2016-01-01,1.110000,1.110000,0.987000,0.987000,0.987000,200
2016-02-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-03-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-04-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-05-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-06-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-07-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-08-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-09-01,0.987000,0.987000,0.987000,0.987000,0.987000,0
2016-10-01,0.987000,0.987000,0.919900,0.919900,0.919900,9400
2016-11-01,0.919900,0.919900,0.919900,0.919900,0.919900,0
2016-12-01,0.919900,0.919900,0.919900,0.919900,0.919900,0
2017-01-01,0.919900,0.919900,0.919900,0.919900,0.919900,0
2017-02-01,0.919900,0.919900,0.919900,0.919900,0.919900,0
2017-03-01,0.919900,0.919900,0.870000,0.870000,0.870000,115
2017-04-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-05-01,0.870000,0.870000,0.870000,0.870000,0.870000,3000
2017-06-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-07-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-08-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-09-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-10-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-11-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2017-12-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2018-01-01,0.870000,0.870000,0.870000,0.870000,0.870000,0
2018-02-01,0.870000,1.125000,0.300000,0.300000,0.300000,10900
2018-03-01,0.300000,0.450000,0.200000,0.200000,0.200000,10200
2018-04-01,0.200000,0.450000,0.200000,0.450000,0.450000,800
2018-05-01,0.450000,0.450000,0.450000,0.450000,0.450000,0
2018-06-01,0.450000,0.450000,0.450000,0.450000,0.450000,0
2018-07-01,0.450000,0.450000,0.050100,0.050100,0.050100,3667
2018-08-01,0.050100,0.510000,0.050100,0.500000,0.500000,1900
2018-09-01,0.500000,0.500000,0.100000,0.100000,0.100000,200
2018-10-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
