Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,8045.970215,8100.640137,6384.399902,6851.750000,6851.750000,4972420100
2008-02-01,6896.189941,7079.740234,6655.649902,6748.129883,6748.129883,3512761300
2008-03-01,6692.979980,6720.160156,6167.819824,6534.970215,6534.970215,3649446800
2008-04-01,6519.020020,6966.470215,6496.939941,6948.819824,6948.819824,3064248600
2008-05-01,6982.060059,7231.859863,6905.859863,7096.790039,7096.790039,2702376200
2008-06-01,7098.700195,7102.049805,6308.240234,6418.319824,6418.319824,3108623000
2008-07-01,6394.080078,6577.100098,5999.319824,6479.560059,6479.560059,3932192700
2008-08-01,6461.009766,6626.700195,6219.100098,6422.299805,6422.299805,2627630100
2008-09-01,6400.850098,6553.899902,5658.200195,5831.020020,5831.020020,4707886400
2008-10-01,5865.080078,5876.930176,4014.600098,4987.970215,4987.970215,6538493900
2008-11-01,5053.939941,5302.569824,4034.959961,4669.439941,4669.439941,3294708800
2008-12-01,4653.120117,4850.390137,4304.029785,4810.200195,4810.200195,3033000800
2009-01-01,4856.850098,5111.020020,4067.429932,4338.350098,4338.350098,3164270100
2009-02-01,4309.169922,4688.589844,3764.689941,3843.739990,3843.739990,2815267300
2009-03-01,3817.510010,4272.120117,3588.889893,4084.760010,4084.760010,3475892900
2009-04-01,4074.790039,4837.220215,3997.459961,4769.450195,4769.450195,2921957400
2009-05-01,4790.029785,5060.759766,4653.250000,4940.819824,4940.819824,2488561700
2009-06-01,4992.100098,5177.589844,4669.799805,4808.640137,4808.640137,2199589000
2009-07-01,4820.609863,5396.950195,4524.009766,5332.140137,5332.140137,2149240400
2009-08-01,5330.870117,5575.529785,5158.600098,5464.609863,5464.609863,1809455900
2009-09-01,5479.350098,5760.830078,5263.109863,5675.160156,5675.160156,2479101700
2009-10-01,5681.879883,5888.209961,5394.799805,5414.959961,5414.959961,2844528700
2009-11-01,5410.609863,5843.270020,5312.640137,5625.950195,5625.950195,2328656800
2009-12-01,5653.879883,6026.689941,5605.430176,5957.430176,5957.430176,1884540500
2010-01-01,5975.520020,6094.259766,5540.330078,5608.790039,5608.790039,2636440200
2010-02-01,5587.500000,5743.890137,5433.020020,5598.459961,5598.459961,2609748500
2010-03-01,5652.850098,6203.500000,5641.180176,6153.549805,6153.549805,2581775400
2010-04-01,6189.379883,6341.520020,6024.009766,6135.700195,6135.700195,2739397000
2010-05-01,6122.759766,6276.799805,5607.680176,5964.330078,5964.330078,3888514100
2010-06-01,5943.939941,6330.810059,5798.759766,5965.520020,5965.520020,2633843500
2010-07-01,5885.609863,6253.640137,5809.370117,6147.970215,6147.970215,2218667900
2010-08-01,6187.640137,6386.970215,5833.509766,5925.220215,5925.220215,2097355400
2010-09-01,5936.939941,6339.970215,5876.430176,6229.020020,6229.020020,2449547800
2010-10-01,6244.060059,6668.540039,6115.870117,6601.370117,6601.370117,2168915000
2010-11-01,6637.089844,6907.609863,6586.009766,6688.490234,6688.490234,2331507300
2010-12-01,6748.359863,7087.839844,6736.689941,6914.189941,6914.189941,1794678000
2011-01-01,6973.390137,7180.149902,6835.740234,7077.479980,7077.479980,2362794000
2011-02-01,7133.339844,7441.819824,7093.910156,7272.319824,7272.319824,2127554100
2011-03-01,7309.799805,7356.330078,6483.390137,7041.310059,7041.310059,3088455300
2011-04-01,7086.560059,7514.689941,6994.560059,7514.459961,7514.459961,2418035400
2011-05-01,7570.859863,7600.410156,7071.419922,7293.689941,7293.689941,3554795600
2011-06-01,7310.560059,7378.350098,6991.620117,7376.240234,7376.240234,3215360800
2011-07-01,7374.490234,7523.529785,6996.259766,7158.770020,7158.770020,3297352900
2011-08-01,7254.500000,7282.009766,5345.359863,5784.850098,5784.850098,5640144700
2011-09-01,5793.100098,5794.500000,4965.799805,5502.020020,5502.020020,4649823600
2011-10-01,5311.930176,6430.600098,5125.439941,6141.339844,6141.339844,3736558800
2011-11-01,5934.540039,6193.339844,5366.500000,6088.839844,6088.839844,4073300800
2011-12-01,6080.479980,6170.040039,5637.529785,5898.350098,5898.350098,2996362500
2012-01-01,5900.180176,6574.189941,5900.180176,6458.910156,6458.910156,3829221200
2012-02-01,6482.950195,6971.029785,6482.560059,6856.080078,6856.080078,3637922200
2012-03-01,6831.970215,7194.330078,6612.609863,6946.830078,6946.830078,3738004200
2012-04-01,6973.990234,7081.060059,6499.069824,6761.189941,6761.189941,3209274200
2012-05-01,6861.299805,6875.870117,6208.089844,6264.379883,6264.379883,3345684700
2012-06-01,6259.759766,6427.490234,5914.430176,6416.279785,6416.279785,3392213200
2012-07-01,6405.390137,6835.189941,6324.529785,6772.259766,6772.259766,3146666300
2012-08-01,6775.990234,7105.430176,6596.209961,6970.790039,6970.790039,2803906100
2012-09-01,6946.609863,7478.529785,6892.859863,7216.149902,7216.149902,3415170200
2012-10-01,7227.810059,7447.810059,7120.680176,7260.629883,7260.629883,2733818100
2012-11-01,7255.299805,7442.600098,6950.529785,7405.500000,7405.500000,2861767400
2012-12-01,7427.410156,7682.899902,7417.299805,7612.390137,7612.390137,1904157500
2013-01-01,7689.459961,7871.790039,7634.259766,7776.049805,7776.049805,2744777800
2013-02-01,7792.589844,7860.569824,7537.290039,7741.700195,7741.700195,2807628200
2013-03-01,7735.350098,8074.470215,7627.990234,7795.310059,7795.310059,3177620300
2013-04-01,7806.120117,7965.899902,7418.359863,7913.709961,7913.709961,2702786300
2013-05-01,7905.350098,8557.860352,7896.990234,8348.839844,8348.839844,2390645500
2013-06-01,8291.490234,8395.559570,7655.830078,7959.220215,7959.220215,2049615400
2013-07-01,8000.020020,8415.330078,7730.370117,8275.969727,8275.969727,2089886000
2013-08-01,8320.379883,8457.049805,8094.220215,8103.149902,8103.149902,1848214900
2013-09-01,8224.339844,8770.099609,8095.910156,8594.400391,8594.400391,2075406100
2013-10-01,8618.589844,9070.169922,8489.620117,9033.919922,9033.919922,1941610600
2013-11-01,9032.290039,9424.620117,8962.419922,9405.299805,9405.299805,1682450100
2013-12-01,9412.950195,9594.349609,8984.280273,9552.160156,9552.160156,1439765800
2014-01-01,9598.250000,9794.049805,9166.049805,9306.480469,9306.480469,2128734500
2014-02-01,9318.769531,9720.660156,9071.250000,9692.080078,9692.080078,1693660100
2014-03-01,9553.080078,9634.820313,8913.269531,9555.910156,9555.910156,2035729000
2014-04-01,9601.959961,9721.500000,9166.530273,9603.230469,9603.230469,1603707000
2014-05-01,9611.790039,9970.769531,9407.089844,9943.269531,9943.269531,1770768200
2014-06-01,9986.860352,10050.980469,9749.750000,9833.070313,9833.070313,1713984200
2014-07-01,9853.740234,10032.280273,9395.349609,9407.480469,9407.480469,1711876900
2014-08-01,9379.740234,9600.849609,8903.490234,9470.169922,9470.169922,1688402200
2014-09-01,9484.530273,9891.200195,9369.620117,9474.299805,9474.299805,1717977300
2014-10-01,9454.040039,9520.969727,8354.969727,9326.870117,9326.870117,2631768000
2014-11-01,9305.730469,9992.669922,9148.780273,9980.849609,9980.849609,1839387200
2014-12-01,9915.740234,10093.030273,9219.049805,9805.549805,9805.549805,1813077200
2015-01-01,9869.129883,10810.570313,9382.820313,10694.320313,10694.320313,2370763000
2015-02-01,10719.179688,11401.660156,10594.320313,11401.660156,11401.660156,1826408700
2015-03-01,11408.280273,12219.049805,11193.299805,11966.169922,11966.169922,2177975700
2015-04-01,11902.919922,12390.750000,11331.370117,11454.379883,11454.379883,1808544900
2015-05-01,11506.839844,11920.309570,11167.549805,11413.820313,11413.820313,1779420200
2015-06-01,11462.969727,11635.849609,10797.849609,10944.969727,10944.969727,2240692800
2015-07-01,11050.320313,11802.370117,10652.790039,11308.990234,11308.990234,1890992700
2015-08-01,11295.500000,11669.860352,9338.200195,10259.459961,10259.459961,2178011700
2015-09-01,10073.740234,10512.610352,9325.049805,9660.440430,9660.440430,2661931100
2015-10-01,9757.040039,10886.980469,9396.339844,10850.139648,10850.139648,2183994200
2015-11-01,10749.980469,11430.870117,10607.459961,11382.230469,11382.230469,1732704700
2015-12-01,11422.469727,11430.379883,10122.950195,10743.009766,10743.009766,1837765100
2016-01-01,10485.809570,10485.910156,9314.570313,9798.110352,9798.110352,2229207300
2016-02-01,9823.730469,9827.099609,8699.290039,9495.400391,9495.400391,2532409900
2016-03-01,9482.660156,10112.169922,9471.089844,9965.509766,9965.509766,2101602800
2016-04-01,9833.259766,10474.379883,9484.750000,10038.969727,10038.969727,1850953700
2016-05-01,10091.169922,10365.240234,9737.000000,10262.740234,10262.740234,1768835100
2016-06-01,10242.780273,10340.839844,9214.099609,9680.089844,9680.089844,2493207700
2016-07-01,9742.839844,10381.900391,9304.009766,10337.500000,10337.500000,1865809900
2016-08-01,10426.360352,10802.320313,10092.530273,10592.690430,10592.690430,1624166000
2016-09-01,10622.330078,10780.419922,10189.940430,10511.019531,10511.019531,2235033000
2016-10-01,10492.969727,10827.719727,10349.059570,10665.009766,10665.009766,1852130200
2016-11-01,10724.139648,10802.389648,10174.919922,10640.299805,10640.299805,2186059500
2016-12-01,10593.059570,11481.660156,10402.589844,11481.059570,11481.059570,1937908900
2017-01-01,11426.379883,11893.080078,11414.820313,11535.309570,11535.309570,1839093600
2017-02-01,11646.419922,12031.110352,11479.780273,11834.410156,11834.410156,1635752400
2017-03-01,11915.030273,12313.290039,11850.269531,12312.870117,12312.870117,2352684600
2017-04-01,12368.820313,12486.290039,11941.570313,12438.009766,12438.009766,1644675400
2017-05-01,12478.459961,12841.660156,12433.509766,12615.059570,12615.059570,2005525000
2017-06-01,12623.610352,12951.540039,12319.000000,12325.120117,12325.120117,2051075600
2017-07-01,12396.339844,12676.519531,12097.360352,12118.250000,12118.250000,1774219500
2017-08-01,12147.889648,12336.000000,11868.839844,12055.839844,12055.839844,1736744300
2017-09-01,12101.150391,12828.860352,12050.530273,12828.860352,12828.860352,1770810200
2017-10-01,12866.269531,13255.379883,12849.589844,13229.570313,13229.570313,1560162000
2017-11-01,13342.440430,13525.559570,12847.879883,13023.980469,13023.980469,2121108500
2017-12-01,13044.150391,13338.910156,12810.129883,12917.639648,12917.639648,1619717800
2018-01-01,12897.690430,13596.889648,12745.150391,13189.480469,13189.480469,2108953300
2018-02-01,13235.150391,13301.410156,12003.360352,12435.849609,12435.849609,2328410000
2018-03-01,12386.400391,12459.900391,11726.620117,12096.730469,12096.730469,2414481000
2018-04-01,11997.469727,12647.160156,11792.349609,12612.110352,12612.110352,1755404200
2018-05-01,12610.780273,13204.309570,12547.610352,12604.889648,12604.889648,2224918000
2018-06-01,12678.070313,13170.049805,12104.410156,12306.000000,12306.000000,2326984100
2018-07-01,12147.940430,12886.830078,12132.719727,12805.500000,12805.500000,1766679100
2018-08-01,12826.700195,12833.110352,12120.650391,12364.059570,12364.059570,1707359700
2018-09-01,12338.360352,12458.299805,11865.469727,12246.730469,12246.730469,1922506800
2018-10-01,12265.889648,12373.290039,11051.040039,11447.509766,11447.509766,1997993800
2018-11-01,11419.610352,11689.959961,11009.250000,11257.240234,11257.240234,1916112500
2018-12-01,11534.750000,11566.969727,10279.200195,10558.959961,10558.959961,1758607300
